ITEMID,ORIGINALID,ITEMNAME,CATEGORY,PRICE,EXPLANATION,IMAGENAME
2001006,C000000006,ロッチ チョコパイ,2001,300,夏はひんやり冷やして、冬は温かいミルクと一緒に食べるのがおすすめ。,choco_cookie.png
2001007,C000000007,チョコたっぷり棒,2001,102,チョコが筒の中に入っているので溶けても然程被害が出ない＆持つ部分にはチョコが付いていないので、持ってる間に溶けてきて手が汚れるという事が無い素晴らしい、最後までチョコたっぷりな商品。,choco_cookie.png
2001008,C000000008,パンダのロンド,2001,136,かわいいパンダの見た目をしているのに、とってもおいしいチョコレートが中から出てくる、サクサクあまあまなチョコレートの代表作です。,choco_cookie.png
2001009,C000000009,カントリーパパン,2001,590,周りがサクッと中しっとりの食感がたまらない、チョコレートクッキーの決定版。,choco_cookie.png
2001010,C000000010,ロッチ クラッシャー,2001,128,さくさくのパフ入りの板チョコ。見た目はベーシックな板チョコのようですが、パフがたっぷりと入っているので重すぎず、一気食いしてしましそうな勢いで食べてしまいます。,choco_cookie.png
2001011,C000000011,ロッチ 糸糸,2001,298,細い線が編み重なったような見た目にも美しい網目状で、一口噛むとパリっとした食感と口の中で溶けていく独特の楽しみ方ができる唯一無二の上品なチョコレート。,choco_cookie.png
2001012,C000000012,溶けるキッス,2001,265,外側にはさらさらのココアパウダーがかかっていて、一口食べるととろけるようなコクと濃厚な味わいのチョコレートが口いっぱいに広がります。,choco_cookie.png
2001013,C000000013,バッキー,2001,202,チョコレートとビスケットの量が本当にちょうど良くて1箱ぺろっといけちゃいます。,choco_cookie.png
2001014,C000000014,しみてるコーン,2001,207,なんてったって止まらない！きっと軽いから罪悪感がないのでしょうね...。星の形も特徴的で、パーティーなどでお皿に盛りつけるとかわいいですね。,choco_cookie.png
2001015,C000000015,アルベーヌ,2001,358,上品な甘さのミルクチョコが、ふわふわしたスポンジ生地に余すことなくコーティングされていて、もう幸せです。,choco_cookie.png
2001016,C000000016,ルンルンマンド,2001,1900,サクサクパリパリッとしたクレープ生地に、甘?いチョコ。,choco_cookie.png
3001001,D000000001,シャツ,3001,798,イージーケアでデイリーユースもしやすいシャツ。ベーシックなレギュラーカラーはどんなアイテムともバランスよくマッチしてくれます。,youhuku.png
3001002,D000000002,ニット,3001,1000,シンプルなクルーネックのニットプルオーバー。前振りの裾スリットや前後差ヘムが、スタイリングにこなれたニュアンスをプラスします。,youhuku.png
3001003,D000000003,カーディガン,3001,900,ふっくらとしたスポンディッシュ生地が着心地の良さを演出するカーディガン。Vネックのデザインで、きれいめな印象を与えます。,youhuku.png
3001004,D000000004,タンクトップ,3001,500,丸みを帯びたネックデザインが柔らかな印象を演出するタンクトップ。肌触りの良いテレコ素材で、快適に着用することができます。,youhuku.png
3001005,D000000005,Tシャツ,3001,670,フロントの英字ロゴがおしゃれな風合いを演出するTシャツ。裾に向かって緩やかに広がるシルエットで、フェミニンなムードをプラスします。,youhuku.png
3001006,D000000006,キャミソール,3001,780,夏のレイヤードスタイルをこなれ感たっぷりに仕上げてくれるブラトップキャミソール伸縮性に優れたリブ素材で着心地も抜群。,youhuku.png
3002001,E000000001,コート,3002,5000,テーラードカラーでクラシカルな印象を与えるトレンチコート。花粉の付着を防ぐ加工を施しており、季節の変わり目のお出かけにも大活躍してくれます。,youhuku.png
3002002,E000000002,ジャケット,3002,3500,ダブルボタンがクラシカルな雰囲気を漂わせるテーラードジャケット。ドロップショルダーの丸みのあるシルエットで女性らしい印象をプラス。さりげなく華奢見せ効果も期待することができます。,youhuku.png
3002003,E000000003,ブルゾン,3002,2500,裾に向かって広がるAラインのシルエットがフェミニンな印象を与えるブルゾン。生地端のリブ切り替えで、フィット感のある着心地を実現してくれます。,youhuku.png
3002004,E000000004,スーツ,3002,9800,『スタイリッシュ&コンフォート』をコンセプトに合わせてトレンド感を交えつつ、スッキリとしたデザインを意識した、スマートなスタイリッシュスーツです。,youhuku.png
3002005,E000000005,パーカー,3002,3000,高品質で着心地が良く、さまざまな環境に適応できる優れたワークウエアとして世界中で愛用されています。,youhuku.png
3003001,F000000001,ワンピース,3003,1980,ふんわりと広がるティアードデザインがフェミニンなムードを演出するワンピース。首元はバンドカラーになっており、すっきりとした印象を与えてくれます。,youhuku.png
3003002,F000000002,サロンペット,3003,1500,丈が短いと子供っぽくなりがちなサロペットも、きれいめな素材感と長め丈で大人っぽく着ていただけます。インナーにはざっくりニットを合わせてカジュアルミックスなコーディネートもおすすめです。,youhuku.png
3003003,F000000003,オーバーオール,3003,1780,気のデニムボトムスにオーバーオールが登場！ブラウス、タートルネック、Tシャツなど・・インナー次第でオールシーズン着こなせる着回し力の高いアイテムです,youhuku.png
